"KEY","English","Korean","Japanese","ChineseTraditional","ChineseSimplified","French","Italian","German","Spanish","Russian","Portuguese","Arabic","","","","","","","","","","","","",""
"Alert_Experimental","This feature is experimental!","이 기능은 실험입니다!","この機能は実験的なものです！","這個功能是實驗性的！","这个功能仅供测试！","Cette fonctionnalité est expérimentale !","Questa è una funzionalità sperimentale!","Diese Funktion ist experimentell!","¡Esta prestación es experimental!","Экспериментальная функция!","Este recurso é experimental!","هذه الخاصية تجريبية!","","","","","","","","","","","","",""
"Alert_DemoMode","DEMO VERSION: MixCast isn't enabled in other applications and settings aren't saved","DEMO 버전 : MixCast은 다른 응용 프로그램에서 사용할 수 없습니다 및 설정이 저장되지 않습니다","DEMO VERSION：MixCastは、他のアプリケーションで有効になっていないと設定が保存されません","演示版本：MixCast在其他應用程序中未啟用，設置不保存","演示版本：MixCast在其他应用程序中未启用，设置不保存","VERSION DÉMO : MixCast n'est pas activé dans d'autres applications et les paramètres ne sont pas sauvegardés","VERSIONE DEMO: MixCast non è abilitato in altre applicazioni e le impostazioni non sono state salvate","DEMOVERSION: MixCast ist nicht in anderen Anwendungen aktiviert und die Einstellungen werden nicht gespeichert.","VERSIÓN DEMO: MixCast no está habilitada en otras aplicaciones y no se ha guardado la configuración.","ДЕМОВЕРСИЯ: MixCast недоступен в других приложениях, настройки не сохраняются","VERSÃO DEMO: o MixCast não está ativado em outros aplicativos e as configurações não foram salvas","نسخة تجريبية: لم يتم تفعيل MixCast في التطبيقات الأخرى ولم يتم حفظ الإعدادات","","","","","","","","","","","","",""
"Action_Apply","Apply","대다","適用します","應用","应用","Appliquer","Applica","Anwenden","Aplicar","Применить","Aplicar","تطبيق","","","","","","","","","","","","",""
"Field_MixCastVersion","v{0}","V {0}","V {0}","v{0}","v{0}","v{0}","v {0}","V{0}","v{0}","v{0}","v{0}","v{0}","","","","","","","","","","","","",""
"Action_StartQuickCalib","Quick Setup","빠른 설치","クイックセットアップ","快速設置","快速设置","Configuration rapide","Configurazione rapida","Schnelle Einrichtung","Configuración rápida","Быстрая настройка","Configuração Rápida","الإعداد السريع","","","","","","","","","","","","",""
"Action_ModifyPosition","Modify Position","위치 수정","位置を変更します","修改位置","修改位置","Modifier position","Modifica posizione","Position ändern","Modificar posición","Изменить положение","Modificar Posição","تعديل الموضع","","","","","","","","","","","","",""
"Action_ModifyRotation","Modify Rotation","회전 수정","ローテーションを変更します。","修改旋轉","修改旋转","Modifier rotation","Modifica rotazione","Drehung ändern","Modificar rotación","Изменить вращение","Modificar Rotação","تعديل الدوران","","","","","","","","","","","","",""
"Action_ConfirmSetup","Confirm","확인","確かめます","確認","确认","Confirmer","Conferma","Bestätigen","Confirmar","Подтвердить","Confirmar","تأكيد","","","","","","","","","","","","",""
"Action_ProceedSetup","Increase Precision","정밀을 증가","精度を上げます","提高精度","提高精度","Augmenter précision","Aumenta precisione","Genauigkeit erhöhen","Aumentar precisión","Увеличить точность","Aumentar Precisão","زيادة الدقة","","","","","","","","","","","","",""
"Title_DeviceSettings","Input Device","입력 장치","入力装置","輸入設備","输入设备","Appareil d'entrée","Dispositivo d'ingresso","Eingabegerät","Dispositivo de entrada","Устройство ввода","Dispositivo de Entrada","جهاز إدخال","","","","","","","","","","","","",""
"Field_Identifier","Device Name","장치 이름","装置名","設備名稱","设备名称","Nom de l'appareil","Nome dispositivo","Gerätename","Nombre del dispositivo","Название устройства","Nome do Dispositivo","اسم الجهاز","","","","","","","","","","","","",""
"Field_FieldOfView","Vertical Field of View (deg)","뷰의 수직 필드 (DEG)","垂直視野（度）","垂直視野（角度）","垂直视野（度）","Champ de vision vertical (deg)","Campo visivo verticale (gradi)","Vertikales Sichtfeld (Grad)","Campo de visión vertical (º)","Вертикальное поле зрения (градусы)","Campo de Visão Vertical (graus)","مجال الرؤية العمودي (الدرجة)","","","","","","","","","","","","",""
"Field_InputFeedFlipY","Invert Image","이미지 반전","画像反転","反轉圖像","反转图像","Inverser l'image","Inverti immagine","Bild invertieren","Invertir imagen","Инвертировать изображение","Inverter imagem","عكس الصورة","","","","","","","","","","","","",""
"Field_ReqResolution","Input Resolution","입력 해상도","入力分解能","輸入解析度","输入分辨率","Résolution d'entrée","Risoluzione d'ingresso","Eingangsauflösung","Resolución de entrada","Разрешение на входе","Resolução de Entrada","دقة الإدخال","","","","","","","","","","","","",""
"Tooltip_FoVNotSet","Camera-specific Field of View must be defined. Value should be between 10-180 degrees.","보기의 카메라 특정 필드를 정의해야합니다. 값은 10-180도 사이 여야합니다.","ビューのカメラ固有のフィールドを定義する必要があります。値は、10から180度の間でなければなりません。","必須定義相機特定的視野。 價值應在10-180度之間。","需要定义相关相机的视野。 应在10-180度之间。","Le champ de vision spécifique à la caméra doit être défini. La valeur doit être entre 10 et 180 degrés.","Il campo visivo specifico della videocamera deve essere definito. Il valore dovrebbe essere tra i 10 e i 180 gradi.","Das kameraspezifische Sichtfeld muss definiert werden. Der Wert sollte zwischen 10 und 180 Grad liegen.","Es necesario definir el campo de visión específico de la cámara. El valor debe oscilar entre 10º y 180º.","Необходимо указать поле зрения для конкретной камеры: 10–180 градусов.","O Campo de Visão Específico da Câmera precisa ser definido. O valor deve estar entre 10-180 graus.","يجب تحديد مجال الرؤية الخاص بالكاميرا. يجب أن تكون القيمة بين 10-180 درجة.","","","","","","","","","","","","",""
"Title_OutputSettings","Output","합성","コンポジット","合成","合成","Sortie","Uscita","Ausgabe","Imagen producida","Выход","Saída","الإخراج","","","","","","","","","","","","",""
"Field_OutputResolution","Output Resolution","아웃풋 해상도","出力解像度","輸出解析度","输出分辨率","Résolution sortie","Risoluzione di uscita","Ausgabeauflösung","Resolución de la imagen producida","Разрешение на выходе","Resolução de Saída","دقة الإخراج","","","","","","","","","","","","",""
"Field_OutputFramerate","Output Framerate (FPS)","아웃풋 프레임레이트(FPS)","出力フレームレート (FPS)","輸出幀率 (FPS)","输出帧率(FPS)","Framerate Sortie (FPS)","Framerate di uscita (FPS)","Ausgabe-Bildrate (FPS)","Fotogramas por segundo de la imagen (FPS)","Частота кадров на выходе (FPS)","Taxa de Quadros de Saída (FPS)","معدل إطارات الإخراج (إطار/الثانية)","","","","","","","","","","","","",""
"Tooltip_OutputScreenAdaptive","Dimension adjusts with screen aspect","치수는 화면 비율에 따라 조절됩니다","画面アスペクト比に合わせて寸法が調整されます","根據螢幕長寬比調整尺寸","根据屏幕比例调整尺寸","La dimension s'ajuste avec l'aspect de l'écran","Le dimensioni si adattano al formato dello schermo","Dimensionsanpassung mit Bildschirmseitenverhältnis","La dimensión se ajusta con el aspecto en pantalla.","Размеры соответствуют соотношению сторон экрана","A Dimensão ajusta com a proporção de tela","تُضبط الأبعاد مع نسبة امتداد الشاشة","","","","","","","","","","","","",""
"Field_OutputMode","Display Mode","디스플레이 모드","ディスプレイモード","顯示模式","显示模式","Mode d'affichage","Modalità visualizzazione","Anzeigemodus","Modo de visualización","Режим экрана","Modo de Exibição","وضع العرض","","","","","","","","","","","","",""
"Tooltip_BufferedMode","Support for transparency in the foreground is reduced in this mode and output may vary between experiences","전경의 투명성에 대한 지원은이 모드에서 감소되고 출력은 경험에 따라 다를 수 있습니다","前景の透明度をサポートするには、このモードでは低減され、出力は経験の間で変動し得ます","在這種模式下，對前景的透明度的支持被減少，輸出可能因經驗而異","在这种模式下，对前景的透明度的支持减少，输出可能会有所不同","La prise en charge de la transparence au premier plan est réduite dans ce mode et le résultat peut varier entre les expériences","In questa modalità il supporto della trasparenza in primo piano viene ridotto e l'uscita può variare tra queste esperienze","In diesem Modus wird die Transparenz im Vordergrund reduziert. Die Ausgabe kann je nach Erfahrung variieren.","En este modo se reduce la asistencia de transparencia del primer plano y la imagen producida puede variar de una experiencia a otra.","Поддержка прозрачности переднего слоя в этом режиме уменьшена, и результат может быть разным","Compatibilidade com transparência em primeiro plano é reduzida neste modo e a saída pode variar entre experiências","يتم في هذا الوضع تقليل دعم الشفافية في المقدمة، كما يمكن أن يختلف الإخراج بين التجارب","","","","","","","","","","","","",""
"Tooltip_QuadrantMode","Support for transparency in the foreground is reduced in this mode and output may vary between experiences","전경의 투명성에 대한 지원은이 모드에서 감소되고 출력은 경험에 따라 다를 수 있습니다","前景の透明度をサポートするには、このモードでは低減され、出力は経験の間で変動し得ます","在這種模式下，對前景的透明度的支持被減少，輸出可能因經驗而異","在这种模式下，对前景的透明度的支持减少，输出可能会有所不同","La prise en charge de la transparence au premier plan est réduite dans ce mode et le résultat peut varier entre les expériences","In questa modalità il supporto della trasparenza in primo piano viene ridotto e l'uscita può variare tra queste esperienze","In diesem Modus wird die Transparenz im Vordergrund reduziert. Die Ausgabe kann je nach Erfahrung variieren.","En este modo se reduce la asistencia de transparencia del primer plano y la imagen producida puede variar de una experiencia a otra.","Поддержка прозрачности переднего слоя в этом режиме уменьшена, и результат может быть разным","Compatibilidade com transparência em primeiro plano é reduzida neste modo e a saída pode variar entre experiências","يتم في هذا الوضع تقليل دعم الشفافية في المقدمة، كما يمكن أن يختلف الإخراج بين التجارب","","","","","","","","","","","","",""
"Field_GameDelay","Delay Compensation (ms)","지연 보정(ms)","ディレイ補正 (ms)","延遲補償 (ms)","延迟补偿(ms)","Compensation de retard (ms)","Compensazione del ritardo (ms)","Verzögerungsausgleich (ms)","Compensación del retraso (ms)","Компенсация задержки (мс)","Compensação de Atraso (ms)","تعويض التأخير (ملي ثانية)","","","","","","","","","","","","",""
"Tooltip_BufferTimeRange","Delay must be between 1-5000 ms","지연 1-5000 MS 사이 여야합니다","遅延は1〜5000ミリ秒の間でなければなりません","延遲時間必須在1-5000毫秒之間","延迟时间必须在1-5000毫秒之间","Le retard doit être entre 1 et 5000 ms","Il ritardo deve essere compreso tra 1 e 5000 ms","Der Wert muss zwischen 1 und 5.000 ms liegen","El retraso debe oscilar entre 1 y 5000 ms.","Задержка должна составлять 1–5000 мс","O Atraso deve ser entre 1-5000 ms","يجب أن يكون التأخير بين 1-5000 ملي ثانية","","","","","","","","","","","","",""
"Tooltip_BufferTimeLow","Low latency devices may be better utilized with Immediate mode","낮은 대기 시간이 장치는 더 나은 즉시 모드로 사용될 수있다","低遅延デバイスは、より良い即時モードで利用することができます","低延遲設備可以更好地用於即時模式","低延迟设备可以更好地用于即时模式","Les appareils à faible latence fonctionneront mieux avec le mode Immédiat","I dispositivi a bassa latenza devono essere utilizzati in modalità immediata","Geräte mit niedrigen Latenzzeiten sollten besser im Sofortmodus benutzt werden.","Los dispositivos con baja latencia podrían funcionar mejor con el modo Inmediato.","Устройства с низкой задержкой лучше использовать в моментальном режиме","Dispositivos de baixa latência podem ser melhor utilizados com o modo Imediato","يفضل تشغيل الأجهزة ذات زمن الانتقال المنخفض في الوضع الفوري","","","","","","","","","","","","",""
"Title_PlayerMenu","WildKey™","WildKey™","WildKey™","WildKey™","WildKey™","WildKey™","WildKey™","WildKey™","WildKey™","WildKey™","WildKey™","WildKey™","","","","","","","","","","","","",""
"Field_PlayerCropActive","Enable Extended BG Removal","확장 배경 제거 사용 설정","拡張BG除去を有効にする","啟動延伸背景移除功能","启用扩展背景删除","Activer Suppression Fond étendu","Abilita rimozione sfondo estesa","Erweiterte BG-Entfernung aktivieren","Habilitar eliminación de fondo ampliada","Разрешить дополнительное удаление фона","Ativar Remoção do P. de Fundo Extendido","تفعيل إزالة الخلفية الممتدة","","","","","","","","","","","","",""
"Header_CropPadding","Extension Padding (m)","확장 패딩(m)","拡張パディング (m)","延伸邊界(m)","扩展边缘(m)","Extension remplissage (m)","Protezione estesa (m)","Erweiterungsfüllung (m)","Relleno de extensión (m)","Дополнительная подкладка (м)","Preenchimento de Extensão (m)","حشو التمديد (م)","","","","","","","","","","","","",""
"Field_CropPaddingHead","Head","머리","ヘッド","頭部","头部","Tête","Capo","Kopf","Cabeza","Голова","Cabeça","الرأس","","","","","","","","","","","","",""
"Field_CropPaddingHands","Hands","손","ハンド","手","手部","Mains","Mani","Hände","Manos","Руки","Mãos","الأيدي","","","","","","","","","","","","",""
"Field_CropPaddingBase","Feet","발","フィート","腳","脚部","Pieds","Piedi","Füße","Pies","Ноги","Pés","القدم","","","","","","","","","","","","",""
"Header_EdgeCropping","Edge Cropping","NOT_LOCALIZED","NOT_LOCALIZED","NOT_LOCALIZED","NOT_LOCALIZED","NOT_LOCALIZED","NOT_LOCALIZED","NOT_LOCALIZED","NOT_LOCALIZED","NOT_LOCALIZED","NOT_LOCALIZED","NOT_LOCALIZED","","","","","","","","","","","","",""
